序号,开放渠道,品牌,一级类目,二级类目,三级类目,货品ID,货品名称,货品规格,货品条码,货品箱规,货品毛重,单价 (元),销售单位,图片链接,价格/活动备注,状态
1,"天猫,京东",交悦,个人护理,女性用品,个护,WSBTD,蜗赛益生菌漱口水（元气白桃）袋装,15ml,0,,,5.5,瓶,http://ug.link/dx4600-851d-db43/filemgr/share-download/?id=702b7eb3f622458faf7389ffc992bdaf,,上架
2,"天猫,京东",交悦,个人护理,男性护理,个护,WSBT,蜗赛益生菌漱口水（元气白桃）,15ml,0,,,4.5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01A3b59s1NskvwQxn19_!!2214871941626-0-cib.jpg,,下架
3,全网,IFLOVE,个人护理,保健品,个护,WSXYD,蜗赛益生菌漱口水（阳光西柚 ）袋装,15ml,0,,,5.5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01coc3qr1NskxKaxVhF_!!2214871941626-0-cib.jpg,,预售
4,私域,IFLOVE,个人护理,护理用品,个护,WSXY,蜗赛益生菌漱口水（阳光西柚 ）,15ml,0,,,4.5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01eYpo2w1NskvuCRjsz_!!2214871941626-0-cib.jpg,,
5,拼多多,JIAOYUE,数码相机,女性用品,个护,WSBHD,蜗赛益生菌漱口水（沁爽薄荷 ）袋装,15ml,0,,,5.5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01W9hCtv1NskxKb0X5w_!!2214871941626-0-cib.jpg,,
6,拼多多,JIAOYUE,个人护理,女性用品,个护,WSBH,蜗赛益生菌漱口水（沁爽薄荷 ）,15ml,0,,,4.5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01JP9oMp1NskvryxTAK_!!2214871941626-0-cib.jpg,,
7,"天猫,京东",BED GAME,个人护理,女性用品,个护,WSBXGD,蜗赛益生菌漱口水（活力果王）袋装,15ml,0,,,5.5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01KiGhen1NskxFvJlYD_!!2214871941626-0-cib.jpg,,
8,美团,BED GAME,个人护理,女性用品,个护,WSBXG,蜗赛益生菌漱口水（活力果王）,15ml,0,,,5.5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01ZroQWA1Nskvtj6GJ6_!!2214871941626-0-cib.jpg,,
9,私域,蜗赛,个人护理,女性用品,个护,WSCMBZ,蜗赛益生菌口香爆珠（草莓味）,15ml,0,,,4.5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01EyNXdD219wvINHg6R_!!2208929496943-0-cib.jpg,,
10,"天猫,京东",蜗赛,个人护理,女性用品,个护,WSBTBZ,蜗赛益生菌口香爆珠（白桃味）,15ml,0,,,5.5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01f4FeOE219wvMeuDHR_!!2208929496943-0-cib.jpg,,
